URL,Issue,Severity
/about,"Title Too Long",Medium
/about,"Description Too Long",Medium
/appointments,"Title Too Long",Medium
/best-neurosurgeon-in-hyderabad,"Title Too Long",Medium
/blog,"Title Too Long",Medium
/blog/awake-craniotomy-guide,"Title Too Long",Medium
/blog/brain-tumor-surgery-cost-hyderabad,"Title Too Long",Medium
/blog/day-care-endoscopic-spine-surgery-eligibility,"Title Too Long",Medium
/blog/day-care-spine-surgery-insurance-hyderabad,"Title Too Long",Medium
/blog/endoscopic-cervical-spine-surgery-hyderabad,"Title Too Long",Medium
/blog/endoscopic-discectomy-cost-hyderabad,"Title Too Long",Medium
/blog/endoscopic-spine-surgery-cost-hyderabad,"Title Too Long",Medium
/blog/endoscopic-vs-microdiscectomy-hyderabad,"Title Too Long",Medium
/blog/how-much-does-brain-surgery-cost-hyderabad,"Title Too Long",Medium
/blog/mvd-vs-radiosurgery-trigeminal-neuralgia,"Title Too Long",Medium
/blog/return-to-work-after-endoscopic-discectomy-hyderabad,"Title Too Long",Medium
/blog/sciatica-pain-management-hyderabad,"Title Too Long",Medium
/blog/spinal-fusion-cost-hyderabad,"Title Too Long",Medium
/blog/spine-health-maintenance-hyderabad,"Title Too Long",Medium
/blog/spine-surgery-recovery-timeline-hyderabad,"Title Too Long",Medium
/blog/when-to-worry-about-back-pain-neurosurgeon-hyderabad,"Title Too Long",Medium
/blog/world-stroke-day-2025-hyderabad-stroke-code,"Title Too Long",Medium
/brain-surgery,"Title Too Long",Medium
/brain-surgery,"Description Too Long",Medium
/conditions,"Title Too Long",Medium
/conditions/acoustic-neuroma-treatment-hyderabad,"Title Too Long",Medium
/conditions/brain-aneurysm-treatment-hyderabad,"Title Too Long",Medium
/conditions/brain-bleed-evacuation-hyderabad,"Title Too Long",Medium
/conditions/brain-bleed-evacuation-hyderabad,"Description Too Long",Medium
/conditions/brain-tumor-surgery-hyderabad,"Title Too Long",Medium
/conditions/carpal-tunnel-syndrome-hyderabad,"Title Too Long",Medium
/conditions/cervical-myelopathy-decompression-hyderabad,"Title Too Long",Medium
/conditions/cervical-myelopathy-decompression-hyderabad,"Description Too Long",Medium
/conditions/cervical-radiculopathy-treatment-hyderabad,"Title Too Long",Medium
/conditions/chiari-malformation-hyderabad,"Title Too Long",Medium
/conditions/degenerative-disc-disease-treatment-hyderabad,"Title Too Long",Medium
/conditions/degenerative-disc-disease-treatment-hyderabad,"Description Too Long",Medium
/conditions/herniated-disc-treatment-hyderabad,"Title Too Long",Medium
/conditions/osteoporotic-spine-fracture-hyderabad,"Title Too Long",Medium
/conditions/pituitary-adenoma-hyderabad,"Title Too Long",Medium
/conditions/sciatica-pain-treatment-hyderabad,"Title Too Long",Medium
/conditions/scoliosis-treatment-hyderabad,"Title Too Long",Medium
/conditions/slip-disc-treatment-hyderabad,"Title Too Long",Medium
/conditions/spinal-stenosis-treatment-hyderabad,"Title Too Long",Medium
/conditions/spine-tumor-surgery-hyderabad,"Title Too Long",Medium
/conditions/spine-tumor-surgery-hyderabad,"Description Too Long",Medium
/conditions/spondylolisthesis-treatment-hyderabad,"Title Too Long",Medium
/conditions/trigeminal-neuralgia-treatment-hyderabad,"Title Too Long",Medium
/contact,"Title Too Long",Medium
/content-integrity,"Title Too Long",Medium
/cookies,"Title Too Long",Medium
/disclaimer,"Title Too Long",Medium
/knowledge-base,"Title Too Long",Medium
/locations,"Title Too Long",Medium
/locations/banjara-hills,"Title Too Long",Medium
/locations/banjara-hills,"Description Too Long",Medium
/locations/brain-spine-surgeon-banjara-hills,"Title Too Long",Medium
/locations/brain-spine-surgeon-hitec-city,"Title Too Long",Medium
/locations/brain-spine-surgeon-jubilee-hills,"Title Too Long",Medium
/locations/hitech-city,"Title Too Long",Medium
/locations/lb-nagar,"Title Too Long",Medium
/locations/lb-nagar,"Description Too Long",Medium
/locations/malakpet,"Title Too Long",Medium
/locations/malakpet,"Description Too Long",Medium
/locations/neurosurgeon-kondapur,"Title Too Long",Medium
/locations/neurosurgeon-kothapet,"Title Too Long",Medium
/locations/neurosurgeon-kukatpally,"Title Too Long",Medium
/locations/neurosurgeon-madhapur,"Title Too Long",Medium
/locations/neurosurgeon-manikonda,"Title Too Long",Medium
/locations/neurosurgeon-near-jubilee-hills-faq,"Title Too Long",Medium
/locations/neurosurgeon-near-jubilee-hills-faq,"Description Too Long",Medium
/locations/neurosurgeon-near-kachiguda-faq,"Title Too Long",Medium
/locations/neurosurgeon-near-kondapur-faq,"Title Too Long",Medium
/locations/neurosurgeon-nizampet,"Title Too Long",Medium
/locations/secunderabad,"Title Too Long",Medium
/media,"Title Too Long",Medium
/media,"Description Too Long",Medium
/neurosurgeon-banjara-hills,"Title Too Long",Medium
/neurosurgeon-banjara-hills,"Description Too Long",Medium
/neurosurgeon-gachibowli,"Title Too Long",Medium
/neurosurgeon-gachibowli,"Description Too Long",Medium
/neurosurgeon-hitech-city,"Title Too Long",Medium
/neurosurgeon-hitech-city,"Description Too Long",Medium
/neurosurgeon-hyderabad,"Title Too Long",Medium
/neurosurgeon-jubilee-hills,"Title Too Long",Medium
/neurosurgeon-malakpet,"Title Too Long",Medium
/neurosurgeon-secunderabad,"Title Too Long",Medium
/neurosurgeon-secunderabad,"Description Too Long",Medium
/patient-stories,"Title Too Long",Medium
/pediatric-neurosurgery,"Title Too Long",Medium
/pediatric-neurosurgery,"Description Too Long",Medium
/privacy,"Title Too Long",Medium
/research,"Title Too Long",Medium
/services,"Title Too Long",Medium
/services/brain-tumor-surgery-hyderabad,"Title Too Long",Medium
/services/cervical-disc-replacement-hyderabad,"Title Too Long",Medium
/services/cervical-endoscopic-spine-surgery-hyderabad,"Title Too Long",Medium
/services/compare-neurosurgeons-hyderabad,"Title Too Long",Medium
/services/cooled-radiofrequency-ablation-hyderabad,"Title Too Long",Medium
/services/dr-sayuj-vs-apollo-neuro-icu,"Title Too Long",Medium
/services/endoscopic-spine-surgery-hyderabad,"Title Too Long",Medium
/services/epilepsy-surgery-hyderabad,"Title Too Long",Medium
/services/kims-spine-surgery-second-opinion,"Title Too Long",Medium
/services/kyphoplasty-vertebroplasty-hyderabad,"Title Too Long",Medium
/services/lumbar-laminectomy-surgery-hyderabad,"Title Too Long",Medium
/services/microdiscectomy-surgery-cost-hyderabad,"Title Too Long",Medium
/services/minimally-invasive-spine-surgery,"Title Too Long",Medium
/services/peripheral-nerve-surgery,"Title Too Long",Medium
/services/peripheral-nerve-surgery-hyderabad,"Title Too Long",Medium
/services/robotic-spine-surgery-hyderabad,"Title Too Long",Medium
/services/slip-disc-surgery-cost-hyderabad,"Title Too Long",Medium
/services/spinal-decompression-surgery-hyderabad,"Title Too Long",Medium
/services/spinal-fusion,"Title Too Long",Medium
/services/spine-surgery-cost-hyderabad,"Title Too Long",Medium
/services/spine-surgery-hyderabad,"Title Too Long",Medium
/services/uniportal-endoscopic-spine-surgery-hyderabad,"Title Too Long",Medium
/spine-surgery,"Title Too Long",Medium
/stories/endoscopic-discectomy-same-day-hyderabad,"Title Too Long",Medium
/stories/endoscopic-ulbd-stenosis-hyderabad,"Title Too Long",Medium
/stories/mvd-trigeminal-neuralgia-hyderabad,"Title Too Long",Medium
/symptoms-checker,"Title Too Long",Medium
/symptoms/back-pain,"Title Too Long",Medium
/symptoms/pain-on-top-of-head-causes,"Title Too Long",Medium
/symptoms/signs-of-brain-tumor,"Title Too Long",Medium
/technology-facilities,"Title Too Long",Medium
/technology-facilities,"Description Too Long",Medium
/technology-innovation,"Title Too Long",Medium
/technology-innovation,"Description Too Long",Medium
/terms,"Title Too Long",Medium